Membership No  Date Joined  Active  
    16270      2019-6-22    no    
    73055      2017-7-7     no    
    37275      2015-4-13    no    
    60110      2018-10-24   no    
    39033      2018-3-9     no    
    72942      2016-8-14    no    
    42966      2019-5-18    no    
    77328      2017-4-24    no    
    79802      2018-10-12   no    
    34204      2015-7-19    no    
    61875      2019-10-6    no    
    68393      2019-7-11    no    
    96406      2019-8-17    no    
    86011      2015-7-5     no    
    35242      2019-7-21    no    
